Original Word,Option 1 Title,Option 1 URL,Option 1 Path,Option 2 Title,Option 2 URL,Option 2 Path,Option 3 Title,Option 3 URL,Option 3 Path
入れる,荷物を入れるカゴのイラスト,https://www.irasutoya.com/2020/05/blog-post_360.html,images\入れる-1.png,自転車に空気を入れる人のイラスト（携帯ポンプ）,https://www.irasutoya.com/2019/11/blog-post_187.html,images\入れる-2.png,パンフレットを入れる棚のイラスト,https://www.irasutoya.com/2016/02/blog-post_98.html,images\入れる-3.png
降りる,バスの乗り降りをする人のイラスト（男性）,https://www.irasutoya.com/2018/08/blog-post_80.html,images\降りる-1.png,手すりを持って階段を上る・降りる人のイラスト（女性）,https://www.irasutoya.com/2020/12/blog-post_31.html,images\降りる-2.png,電車の乗り降りをする人のイラスト（女性）,https://www.irasutoya.com/2018/08/blog-post_60.html,images\降りる-3.png
終わる,終わらないオンライン飲み会のイラスト（男性）,https://www.irasutoya.com/2020/05/blog-post_671.html,images\終わる-1.png,夏休みのイラスト「夏休みの宿題」,https://www.irasutoya.com/2012/03/blog-post_24.html,images\終わる-2.png,N/A,N/A,N/A
買う,握手券のためにCDをたくさん買う人のイラスト（女性）,https://www.irasutoya.com/2016/08/cd.html,images\買う-1.png,ネットでチケットを買う人のイラスト（男性）,https://www.irasutoya.com/2017/05/blog-post_831.html,images\買う-2.png,握手券のためにCDをたくさん買う人のイラスト,https://www.irasutoya.com/2015/09/cd.html,images\買う-3.png
帰る,泣きながら歩く会社員のイラスト（男性）,https://www.irasutoya.com/2016/04/blog-post_131.html,images\帰る-1.png,福袋を持った馬のイラスト（午年）,https://www.irasutoya.com/2025/12/etoumafukubukuro.html,images\帰る-2.png,N/A,N/A,N/A
書く,いろいろなブロガーのイラスト,https://www.irasutoya.com/2016/12/blog-post_233.html,images\書く-1.png,いろいろな表情の紙に何かを書く会社員のイラスト（女性）,https://www.irasutoya.com/2016/12/blog-post_775.html,images\書く-2.png,いろいろな表情の紙に何かを書く人のイラスト（男性）,https://www.irasutoya.com/2016/12/blog-post_320.html,images\書く-3.png
貸す,けが人に肩を貸す人のイラスト（女性）,https://www.irasutoya.com/2018/03/blog-post_730.html,images\貸す-1.png,肩を貸す人のイラスト（棒人間）,https://www.irasutoya.com/2018/03/blog-post_475.html,images\貸す-2.png,肩を貸す人のイラスト（棒人間）,https://www.irasutoya.com/2016/08/blog-post_65.html,images\貸す-3.png
勝つ,ウイルスに勝つ細胞のイラスト,https://www.irasutoya.com/2017/11/blog-post_789.html,images\勝つ-1.png,N/A,N/A,N/A,N/A,N/A,N/A
聞く,交通安全の「止まる・見る・聞く・待つ」のイラスト（冬）,https://www.irasutoya.com/2016/10/blog-post_251.html,images\聞く-1.png,香りを聞く女性のイラスト（香道）,https://www.irasutoya.com/2016/04/blog-post_863.html,images\聞く-2.png,交通安全の「止まる・見る・聞く・待つ」のイラスト,https://www.irasutoya.com/2015/12/blog-post_820.html,images\聞く-3.png
切る,料理の「切る」のイラスト,https://www.irasutoya.com/2015/01/blog-post_395.html,images\切る-1.png,のこぎりで木材を切る人のイラスト,https://www.irasutoya.com/2019/04/blog-post_823.html,images\切る-2.png,髪を切る美容師のイラスト（女性）,https://www.irasutoya.com/2017/04/blog-post_578.html,images\切る-3.png
着る,ウエストがゆるい服を着る男性のイラスト（ダイエット後）,https://www.irasutoya.com/2018/11/blog-post_49.html,images\着る-1.png,ウエストがゆるい服を着る女性のイラスト（ダイエット後）,https://www.irasutoya.com/2015/05/blog-post_45.html,images\着る-2.png,ウエストがきつい服を着る女性のイラスト（ダイエット前）,https://www.irasutoya.com/2015/05/blog-post_77.html,images\着る-3.png
来る,鴨が葱を背負っているイラスト,https://www.irasutoya.com/2015/09/blog-post_996.html,images\来る-1.png,踏み切りの遮断機をくぐる人のイラスト,https://www.irasutoya.com/2015/10/blog-post_606.html,images\来る-2.png,ヒラメのキャラクター（魚）,https://www.irasutoya.com/2013/02/blog-post_5.html,images\来る-3.png
閉める,便座を閉める子供のイラスト,https://www.irasutoya.com/2015/06/blog-post_364.html,images\閉める-1.png,窓のブラインドの開閉のイラスト,https://www.irasutoya.com/2018/12/blog-post_45.html,images\閉める-2.png,ドアを開ける・閉めるイラスト,https://www.irasutoya.com/2015/01/blog-post_966.html,images\閉める-3.png
知る,トイレのマーク（男女）,https://www.irasutoya.com/2013/11/blog-post_5243.html,images\知る-1.png,「井の中の蛙大海を知らず」のイラスト,https://www.irasutoya.com/2020/12/blog-post_782.html,images\知る-2.png,風見鶏のイラスト,https://www.irasutoya.com/2014/06/blog-post_6601.html,images\知る-3.png
住む,マタマタのイラスト,https://www.irasutoya.com/2015/08/blog-post_267.html,images\住む-1.png,アルマジロトカゲのイラスト,https://www.irasutoya.com/2015/02/blog-post_787.html,images\住む-2.png,ベヒモスのイラスト,https://www.irasutoya.com/2020/03/blog-post_337.html,images\住む-3.png
為る,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
座る,パイプ椅子に座る学生のイラスト,https://www.irasutoya.com/2018/09/blog-post_56.html,images\座る-1.png,姿勢の良い・姿勢の悪い椅子に座る女の子のイラスト,https://www.irasutoya.com/2016/02/blog-post_52.html,images\座る-2.png,姿勢の良い・姿勢の悪い椅子に座る男の子のイラスト,https://www.irasutoya.com/2016/02/blog-post_96.html,images\座る-3.png
立つ,いろいろな斜めから見た立つ人のイラスト（男性）,https://www.irasutoya.com/2019/02/blog-post_989.html,images\立つ-1.png,いろいろな斜めから見た立つ人のイラスト（女性）,https://www.irasutoya.com/2019/02/blog-post_137.html,images\立つ-2.png,足つぼマットの上に立つ人のイラスト,https://www.irasutoya.com/2017/01/blog-post_34.html,images\立つ-3.png
食べる,いろいろな箸でご飯を食べるのが下手な人のイラスト,https://www.irasutoya.com/2018/07/blog-post_50.html,images\食べる-1.png,いろいろな箸でご飯を食べる人のイラスト,https://www.irasutoya.com/2018/07/blog-post_86.html,images\食べる-2.png,箸でご飯を食べる外国人のイラスト,https://www.irasutoya.com/2018/07/blog-post_7.html,images\食べる-3.png
疲れる,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
作る,モールアートを作る人のイラスト,https://www.irasutoya.com/2016/01/blog-post_8.html,images\作る-1.png,わたあめを作る機械のイラスト,https://www.irasutoya.com/2015/01/blog-post_39.html,images\作る-2.png,巻き寿司を作る板前のイラスト,https://www.irasutoya.com/2017/05/blog-post_800.html,images\作る-3.png
出る,出る杭を打つ人のイラスト（棒人間）,https://www.irasutoya.com/2016/08/blog-post_664.html,images\出る-1.png,喉から手が出るほど欲しい人のイラスト（男性）,https://www.irasutoya.com/2020/09/blog-post_97.html,images\出る-2.png,喉から手が出るほど欲しい人のイラスト（女性）,https://www.irasutoya.com/2020/09/blog-post_64.html,images\出る-3.png
寝る,いろいろないびきのイラスト（男性）,https://www.irasutoya.com/2019/04/blog-post_55.html,images\寝る-1.png,いろいろないびきのイラスト（女性）,https://www.irasutoya.com/2019/04/blog-post_41.html,images\寝る-2.png,いろいろなベッドで寝る人のイラスト（女性）,https://www.irasutoya.com/2020/01/blog-post_72.html,images\寝る-3.png
飲む,飲むヨーグルトのイラスト,https://www.irasutoya.com/2015/02/blog-post_839.html,images\飲む-1.png,パックの飲み物を飲む子供のイラスト（男の子）,https://www.irasutoya.com/2018/09/blog-post_845.html,images\飲む-2.png,小指を立てて飲む人のイラスト（女性）,https://www.irasutoya.com/2019/12/blog-post_523.html,images\飲む-3.png
乗る,いろいろな馬に乗るジョッキーのイラスト,https://www.irasutoya.com/2019/05/blog-post_14.html,images\乗る-1.png,いろいろなローラースケートに乗る動物のキャラクター,https://www.irasutoya.com/2019/10/blog-post_124.html,images\乗る-2.png,悲しそうにブランコに乗る会社員のイラスト（女性）,https://www.irasutoya.com/2021/04/blog-post_723.html,images\乗る-3.png
入る,いろいろな温泉に入る人のイラスト,https://www.irasutoya.com/2021/08/blog-post_23.html,images\入る-1.png,静かに温泉に入る人のイラスト（黙浴）,https://www.irasutoya.com/2021/04/blog-post_967.html,images\入る-2.png,静かに銭湯に入る人のイラスト（黙浴）,https://www.irasutoya.com/2021/04/blog-post_545.html,images\入る-3.png
走る,いろいろな走る人たちのイラスト（宅配員）,https://www.irasutoya.com/2019/12/blog-post_63.html,images\走る-1.png,いろいろな走る人たちのイラスト（私服）,https://www.irasutoya.com/2019/10/blog-post_30.html,images\走る-2.png,いろいろな走る人たちのイラスト（学生）,https://www.irasutoya.com/2019/11/blog-post_90.html,images\走る-3.png
働く,働く障害者のイラスト（バラバラ）,https://www.irasutoya.com/2016/12/blog-post_369.html,images\働く-1.png,暑い会社で働く人のイラスト（女性）,https://www.irasutoya.com/2016/05/blog-post_929.html,images\働く-2.png,クリーンルームで働く作業員のイラスト,https://www.irasutoya.com/2015/07/blog-post_404.html,images\働く-3.png
話す,いろいろな携帯電話で話す人のイラスト,https://www.irasutoya.com/2016/09/blog-post_4.html,images\話す-1.png,いろいろなアクリル板越しに話す人のイラスト,https://www.irasutoya.com/2020/08/blog-post_826.html,images\話す-2.png,アクリル板越しに話すラジオの収録のイラスト,https://www.irasutoya.com/2020/05/blog-post_23.html,images\話す-3.png
待つ,交通安全の「止まる・見る・聞く・待つ」のイラスト（冬）,https://www.irasutoya.com/2016/10/blog-post_251.html,images\待つ-1.png,交通安全の「止まる・見る・聞く・待つ」のイラスト,https://www.irasutoya.com/2015/12/blog-post_820.html,images\待つ-2.png,イライラと待つ人のイラスト,https://www.irasutoya.com/2016/01/blog-post_68.html,images\待つ-3.png
見る,いろいろな表情の妊娠検査薬を見る女性のイラスト,https://www.irasutoya.com/2016/07/blog-post_863.html,images\見る-1.png,いろいろな表情の舞台を見る人のイラスト（女性）,https://www.irasutoya.com/2019/02/blog-post_89.html,images\見る-2.png,いろいろな表情の映画を見る人のイラスト（男性）,https://www.irasutoya.com/2019/02/blog-post_12.html,images\見る-3.png
休む,コーナーで休むボクサーのイラスト（男性）,https://www.irasutoya.com/2017/11/blog-post_74.html,images\休む-1.png,コーナーで休むボクサーのイラスト（女性）,https://www.irasutoya.com/2017/11/blog-post_3.html,images\休む-2.png,病欠のイラスト（女性）,https://www.irasutoya.com/2017/11/blog-post_814.html,images\休む-3.png
遣る,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
読む,一緒に本を読む子供たちのイラスト,https://www.irasutoya.com/2018/11/blog-post_30.html,images\読む-1.png,泣きながら本を読む人のイラスト（女性）,https://www.irasutoya.com/2019/02/blog-post_81.html,images\読む-2.png,泣きながら本を読む人のイラスト（男性）,https://www.irasutoya.com/2019/02/blog-post_47.html,images\読む-3.png
分かる,GPS付きの首輪をつけた犬のイラスト,https://www.irasutoya.com/2019/07/gps.html,images\分かる-1.png,水道メーターのイラスト,https://www.irasutoya.com/2015/07/blog-post_143.html,images\分かる-2.png,五色米のイラスト,https://www.irasutoya.com/2017/06/blog-post_895.html,images\分かる-3.png
笑う,笑う男性のイラスト（5段階）,https://www.irasutoya.com/2017/02/5_27.html,images\笑う-1.png,節分のイラスト「笑う赤鬼」,https://www.irasutoya.com/2012/01/blog-post_9196.html,images\笑う-2.png,影で笑う人のイラスト（女性）,https://www.irasutoya.com/2017/11/blog-post_875.html,images\笑う-3.png
忘れる,泣きながら寝る人のイラスト（男性）,https://www.irasutoya.com/2017/10/blog-post_4.html,images\忘れる-1.png,N/A,N/A,N/A,N/A,N/A,N/A
浴びる,冷たいシャワーを浴びる人のイラスト,https://www.irasutoya.com/2017/04/blog-post_5.html,images\浴びる-1.png,温かいシャワーを浴びる人のイラスト,https://www.irasutoya.com/2017/04/blog-post_74.html,images\浴びる-2.png,光療法のイラスト（男性）,https://www.irasutoya.com/2019/11/blog-post_4.html,images\浴びる-3.png
開く,菩提樹の木の下で悟りを開くブッダのイラスト,https://www.irasutoya.com/2015/10/blog-post_7.html,images\開く-1.png,サウナのドアを開く人のイラスト,https://www.irasutoya.com/2020/10/blog-post_918.html,images\開く-2.png,家の鍵のイラスト（ディスクシリンダー）,https://www.irasutoya.com/2015/07/blog-post_338.html,images\開く-3.png
在る,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
上げる,ペットの亀に餌を上げる人のイラスト,https://www.irasutoya.com/2019/10/blog-post_62.html,images\上げる-1.png,ペットの魚に餌を上げる人のイラスト,https://www.irasutoya.com/2019/10/blog-post_8.html,images\上げる-2.png,鹿に鹿せんべいを上げる人のイラスト,https://www.irasutoya.com/2018/10/blog-post_31.html,images\上げる-3.png
揚げる,料理の「揚げる」のイラスト,https://www.irasutoya.com/2015/01/blog-post_312.html,images\揚げる-1.png,料理の「揚げる」のイラスト（コロッケ）,https://www.irasutoya.com/2017/01/blog-post_626.html,images\揚げる-2.png,料理の「揚げる」のイラスト（唐揚げ）,https://www.irasutoya.com/2017/01/blog-post_825.html,images\揚げる-3.png
急ぐ,急ぐパトカーのイラスト,https://www.irasutoya.com/2015/12/blog-post_507.html,images\急ぐ-1.png,急ぐ消防車のイラスト,https://www.irasutoya.com/2015/12/blog-post_874.html,images\急ぐ-2.png,急ぐトラックのイラスト,https://www.irasutoya.com/2016/06/blog-post_329.html,images\急ぐ-3.png
生まれる,ラバのイラスト,https://www.irasutoya.com/2014/06/blog-post_2503.html,images\生まれる-1.png,内輪差と外輪差のイラスト,https://www.irasutoya.com/2019/04/blog-post_36.html,images\生まれる-2.png,N/A,N/A,N/A
売る,不用品を売ろうとする人のイラスト（男性）,https://www.irasutoya.com/2018/03/blog-post_223.html,images\売る-1.png,ガマの油売りのイラスト,https://www.irasutoya.com/2018/01/blog-post_903.html,images\売る-2.png,券売機のイラスト,https://www.irasutoya.com/2014/06/blog-post_6155.html,images\売る-3.png
置く,ドアの前に荷物を置く配達員のイラスト,https://www.irasutoya.com/2020/04/blog-post_74.html,images\置く-1.png,電車の座席に荷物を置く人のイラスト,https://www.irasutoya.com/2015/11/blog-post_752.html,images\置く-2.png,お釣りをトレイに置くレジの店員のイラスト,https://www.irasutoya.com/2020/05/blog-post_78.html,images\置く-3.png
起きる,寝起きのイラスト「爽やかに起きる男性」,https://www.irasutoya.com/2013/03/blog-post_4994.html,images\起きる-1.png,寝起きのイラスト「爽やかに起きる女性」,https://www.irasutoya.com/2013/03/blog-post_1988.html,images\起きる-2.png,布団から出られない人のイラスト（女性）,https://www.irasutoya.com/2016/12/blog-post_399.html,images\起きる-3.png
教える,教えるのが下手な先生のイラスト（男性）,https://www.irasutoya.com/2016/08/blog-post_136.html,images\教える-1.png,教えるのが下手な先生のイラスト（女性）,https://www.irasutoya.com/2016/08/blog-post_909.html,images\教える-2.png,オウムに言葉を教える人のイラスト,https://www.irasutoya.com/2017/09/blog-post_19.html,images\教える-3.png
覚える,他人の顔を覚えられない人のイラスト（男性）,https://www.irasutoya.com/2018/01/blog-post_262.html,images\覚える-1.png,N/A,N/A,N/A,N/A,N/A,N/A
泳ぐ,泳ぐホタルイカのイラスト,https://www.irasutoya.com/2020/08/blog-post_856.html,images\泳ぐ-1.png,泳ぐ棒人間のイラスト,https://www.irasutoya.com/2018/02/blog-post_555.html,images\泳ぐ-2.png,お風呂で泳ぐ子供のイラスト,https://www.irasutoya.com/2017/04/blog-post_11.html,images\泳ぐ-3.png
掛かる,ホームドアにより掛かる人のイラスト,https://www.irasutoya.com/2016/07/blog-post_951.html,images\掛かる-1.png,入院費を心配する患者のイラスト（女性）,https://www.irasutoya.com/2017/03/blog-post_224.html,images\掛かる-2.png,オーロラのイラスト,https://www.irasutoya.com/2013/09/blog-post_7592.html,images\掛かる-3.png
描く,いろいろなキャンバスに絵を描く動物のキャラクター,https://www.irasutoya.com/2019/09/blog-post_35.html,images\描く-1.png,タブレットで絵を描く人のイラスト（女性）,https://www.irasutoya.com/2019/04/blog-post_553.html,images\描く-2.png,タブレットで絵を描く人のイラスト（男性）,https://www.irasutoya.com/2019/04/blog-post_219.html,images\描く-3.png
借りる,レンタサイクルのイラスト,https://www.irasutoya.com/2015/09/blog-post_870.html,images\借りる-1.png,巨人の肩の上に乗る人のイラスト,https://www.irasutoya.com/2019/01/blog-post_43.html,images\借りる-2.png,レンタル傘のイラスト,https://www.irasutoya.com/2020/07/blog-post_57.html,images\借りる-3.png
消える,消失マジックのイラスト（手品）,https://www.irasutoya.com/2020/10/blog-post.html,images\消える-1.png,N/A,N/A,N/A,N/A,N/A,N/A
消す,濡れタオルで鍋の火を消す人のイラスト（事故）,https://www.irasutoya.com/2015/07/blog-post_591.html,images\消す-1.png,メヘンディ・ヘナタトゥーのイラスト,https://www.irasutoya.com/2015/07/blog-post_60.html,images\消す-2.png,黒板消しのイラスト,https://www.irasutoya.com/2013/06/blog-post_6300.html,images\消す-3.png
答える,アンケートに答える人のイラスト（女性）,https://www.irasutoya.com/2019/10/blog-post_78.html,images\答える-1.png,アンケートに答える人のイラスト（男性）,https://www.irasutoya.com/2019/10/blog-post_31.html,images\答える-2.png,鉛筆を転がしてテストに答える人のイラスト,https://www.irasutoya.com/2016/05/blog-post_605.html,images\答える-3.png
困る,5段階の困る表情のイラスト（男性）,https://www.irasutoya.com/2018/09/5.html,images\困る-1.png,5段階の困る表情のイラスト（女性）,https://www.irasutoya.com/2018/09/5_10.html,images\困る-2.png,駄々をこねる子供に困る母親のイラスト,https://www.irasutoya.com/2017/06/blog-post_349.html,images\困る-3.png
咲く,みかんの花のイラスト,https://www.irasutoya.com/2019/07/blog-post_66.html,images\咲く-1.png,ショクダイオオコンニャクのイラスト,https://www.irasutoya.com/2015/11/blog-post_217.html,images\咲く-2.png,桜守のイラスト（女性）,https://www.irasutoya.com/2018/11/blog-post_33.html,images\咲く-3.png
吸う,電子タバコを吸う人のイラスト（中年男性）,https://www.irasutoya.com/2015/04/blog-post_425.html,images\吸う-1.png,電子タバコを吸う人のイラスト（女性）,https://www.irasutoya.com/2019/11/blog-post_834.html,images\吸う-2.png,煙草を吸う人たちのイラスト（棒人間）,https://www.irasutoya.com/2018/12/blog-post_745.html,images\吸う-3.png
出す,マルとバツを出す猫のキャラクター,https://www.irasutoya.com/2017/12/blog-post_89.html,images\出す-1.png,マルとバツを出すうさぎのキャラクター,https://www.irasutoya.com/2017/12/blog-post_13.html,images\出す-2.png,マルとバツを出すクマのキャラクター,https://www.irasutoya.com/2017/12/blog-post_94.html,images\出す-3.png
使う,いろいろなレストランで使うイラスト文字,https://www.irasutoya.com/2016/03/blog-post_763.html,images\使う-1.png,いろいろなタブレットを使う人のイラスト,https://www.irasutoya.com/2016/12/blog-post_554.html,images\使う-2.png,いろいろな表情のパソコンを使う人のイラスト（女性）,https://www.irasutoya.com/2018/03/blog-post_52.html,images\使う-3.png
付ける,マスクを外す・付ける人のイラスト（女性）,https://www.irasutoya.com/2020/07/blog-post_52.html,images\付ける-1.png,かつらを付ける女性のイラスト,https://www.irasutoya.com/2014/08/blog-post_690.html,images\付ける-2.png,電車でVRゴーグルを付ける人たちのイラスト,https://www.irasutoya.com/2018/05/vr_95.html,images\付ける-3.png
着く,福男選びのイラスト,https://www.irasutoya.com/2019/06/blog-post_260.html,images\着く-1.png,N/A,N/A,N/A,N/A,N/A,N/A
勤める,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
飛ぶ,飛ぶトキのイラスト,https://www.irasutoya.com/2020/01/blog-post_610.html,images\飛ぶ-1.png,ホタルが飛ぶ風景のイラスト,https://www.irasutoya.com/2015/11/blog-post_456.html,images\飛ぶ-2.png,フライボードのイラスト「水圧で空を飛ぶ」,https://www.irasutoya.com/2013/12/blog-post_7.html,images\飛ぶ-3.png
止まる,交通安全の「止まる・見る・聞く・待つ」のイラスト（冬）,https://www.irasutoya.com/2016/10/blog-post_251.html,images\止まる-1.png,雪で止まる電車のイラスト,https://www.irasutoya.com/2016/01/blog-post_559.html,images\止まる-2.png,交通安全の「止まる・見る・聞く・待つ」のイラスト,https://www.irasutoya.com/2015/12/blog-post_820.html,images\止まる-3.png
取る,決めポーズを取る戦隊もののキャラクターたち（バラバラ）,https://www.irasutoya.com/2016/01/blog-post_965.html,images\取る-1.png,点呼を取る作業員のイラスト,https://www.irasutoya.com/2018/12/blog-post_962.html,images\取る-2.png,ファイティングポーズを取る人のイラスト（棒人間）,https://www.irasutoya.com/2017/10/blog-post_577.html,images\取る-3.png
無くす,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
習う,「漢字」のイラスト文字,https://www.irasutoya.com/2020/11/blog-post_58.html,images\習う-1.png,「英単語」のイラスト文字,https://www.irasutoya.com/2020/11/blog-post_40.html,images\習う-2.png,学校の教科のイラスト文字２,https://www.irasutoya.com/2016/08/blog-post_60.html,images\習う-3.png
登る,船頭多くして船山に登るのイラスト,https://www.irasutoya.com/2020/03/blog-post_659.html,images\登る-1.png,元気な中年女性のイラスト「階段を登るおばさん」,https://www.irasutoya.com/2013/05/blog-post_7088.html,images\登る-2.png,階段を登る人のイラスト（女性）,https://www.irasutoya.com/2018/08/blog-post_351.html,images\登る-3.png
始まる,「山の日」のイラスト文字,https://www.irasutoya.com/2014/08/blog-post_819.html,images\始まる-1.png,学期末に沢山の荷物を持ち帰る小学生のイラスト（女の子）,https://www.irasutoya.com/2019/07/blog-post_84.html,images\始まる-2.png,住民基本台帳カードのイラスト（男性）,https://www.irasutoya.com/2018/04/blog-post_88.html,images\始まる-3.png
放す,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
降る,暖炉のイラスト「雪の降る夜」,https://www.irasutoya.com/2012/12/blog-post_8827.html,images\降る-1.png,雪が降る住宅街のイラスト（背景素材）,https://www.irasutoya.com/2018/08/blog-post_202.html,images\降る-2.jpg,雪が降るオフィス街・ビル街のイラスト（背景素材）,https://www.irasutoya.com/2018/08/blog-post_841.html,images\降る-3.jpg
振る,いろいろな打ち出の小槌を振る干支のキャラクター,https://www.irasutoya.com/2019/05/blog-post_27.html,images\振る-1.png,打ち出の小槌を振る猫のイラスト,https://www.irasutoya.com/2019/05/blog-post_61.html,images\振る-2.png,クラス旗を振る生徒のイラスト（男子）,https://www.irasutoya.com/2020/10/blog-post_265.html,images\振る-3.png
曲がる,自在ほうきのイラスト（掃除用具）,https://www.irasutoya.com/2016/04/blog-post_865.html,images\曲がる-1.png,内輪差と外輪差のイラスト,https://www.irasutoya.com/2019/04/blog-post_36.html,images\曲がる-2.png,N/A,N/A,N/A
見せる,いろいろな電卓を見せる家電量販店の店員のイラスト,https://www.irasutoya.com/2017/09/blog-post_109.html,images\見せる-1.png,スマホの画面を見せる人のイラスト（スーツ）,https://www.irasutoya.com/2019/07/blog-post_49.html,images\見せる-2.png,スマホの画面を見せる人のイラスト（店員）,https://www.irasutoya.com/2019/01/blog-post_352.html,images\見せる-3.png
持つ,いろいろなペンライトを持つ人のイラスト（女性）,https://www.irasutoya.com/2020/12/blog-post_911.html,images\持つ-1.png,いろいろなペンライトを持つ人のイラスト（男性）,https://www.irasutoya.com/2020/12/blog-post_163.html,images\持つ-2.png,いろいろな痛バッグを持つ人のイラスト,https://www.irasutoya.com/2020/03/blog-post_0.html,images\持つ-3.png
戻る,海に戻る古代生物のイラスト,https://www.irasutoya.com/2017/12/blog-post_81.html,images\戻る-1.png,N/A,N/A,N/A,N/A,N/A,N/A
別れる,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
