Original Word,Chosen,Option 1 Title,Option 1 Path,Option 1 URL,Option 2 Title,Option 2 Path,Option 2 URL,Option 3 Title,Option 3 Path,Option 3 URL
金,1,税金のイラスト（2カット）,images\金-1.png,https://illustkun.com/08320-20240713-a/,魚のイラスト（金目鯛）（2カラー）,images\金-2.png,https://illustkun.com/08282-20240623-a/,お金とがま口財布のイラスト,images\金-3.png,https://illustkun.com/07911-20231202-a/
空,1,空の冷蔵庫のイラスト（2カラー）,images\空-1.png,https://illustkun.com/08389-20240826-a/,空のがま口財布のイラスト,images\空-2.png,https://illustkun.com/07912-20231203-a/,天気のイラスト（月・夜空）（2カット）,images\空-3.png,https://illustkun.com/moon/
月,1,胎児のイラスト（9ヶ月、32〜36週間）（2カラー）,images\月-1.png,https://illustkun.com/08260-20240610-a/,胎児のイラスト（8ヶ月、28〜32週間）（2カラー）,images\月-2.png,https://illustkun.com/08258-20240609-a/,胎児のイラスト（7ヶ月、24〜28週間）（2カラー）,images\月-3.png,https://illustkun.com/08256-20240608-a/
犬,1,目がハートのイラスト（犬）,images\犬-1.png,https://illustkun.com/heart-dog/,喜ぶイラスト（柴犬）,images\犬-2.png,https://illustkun.com/happy-shibainu/,犬を抱っこする子供のイラスト,images\犬-3.png,https://illustkun.com/dog-kids-2/
見,1,テレビを見る子供のイラスト（女の子）（2カット）,images\見-1.png,https://illustkun.com/07585-20230714-b/,テレビを見る子供のイラスト（男の子）（2カット）,images\見-2.png,https://illustkun.com/07582-20230714-a/,姿見のイラスト（2カラー）,images\見-3.png,https://illustkun.com/07581-20230712-b/
五,1,五芒星のイラスト（ペンタグラム）（2カット×2カラー）,images\五-1.png,https://illustkun.com/06904-20220920-b/,シンプルな五大栄養素表のイラスト（4カット）,images\五-2.png,https://illustkun.com/nutrients-2/,新五千円札のイラスト（紙幣・お金）（2カット）,images\五-3.png,https://illustkun.com/bill-6/
口,1,高速道路標識のイラスト（出口）（4カット）,images\口-1.png,https://illustkun.com/07939-20231212-a/,出口の案内板のイラスト（8カット）,images\口-2.png,https://illustkun.com/07931-20231211-a/,金のがま口財布のイラスト,images\口-3.png,https://illustkun.com/07910-20231130-a/
校,1,学校給食のイラスト（ご飯）（2カット）,images\校-1.png,https://illustkun.com/school-lunch-3/,ランドセルのイラスト（小学校）（4カラー）,images\校-2.png,https://illustkun.com/school-bag/,かわいい学校のイラスト（小中高）（6カット）,images\校-3.png,https://illustkun.com/school-4/
左,1,生活 アーカイブ,images\左-1.png,https://illustkun.com/category/lifestyle/,料理 アーカイブ,images\左-2.png,https://illustkun.com/category/lifestyle/cooking/,掃除 アーカイブ,images\左-3.png,https://illustkun.com/category/lifestyle/clean/
三,1,三色団子のイラスト（2カット）,images\三-1.png,https://illustkun.com/07701-20230822-a/,三重県の地図のイラスト（3パターン）,images\三-2.png,https://illustkun.com/07249-20230218-a/,シンプルな三大栄養素表のイラスト（4カット）,images\三-3.png,https://illustkun.com/nutrients/
山,1,電車のイラスト（山手線E235系）,images\山-1.png,https://illustkun.com/08847-20250709-a/,和歌山県の地図のイラスト（3パターン）,images\山-2.png,https://illustkun.com/07246-20230217-a/,山梨県の地図のイラスト（3パターン）,images\山-3.png,https://illustkun.com/07201-20230126-a/
子,1,柔道のイラスト（女子）（2キャラ）,images\子-1.png,https://illustkun.com/09012-20260403-a/,柔道のイラスト（男子）（2キャラ）,images\子-2.png,https://illustkun.com/09011-20260402-b/,ジャングルジムで遊ぶ子供のイラスト,images\子-3.png,https://illustkun.com/08957-20251203-a/
四,1,チェックボックスのイラスト（四角）（6カット）,images\四-1.png,https://illustkun.com/checkbox-2/,クローバーマークのイラスト（身体障害者標識、四つ葉マーク）（2カット）,images\四-2.png,https://illustkun.com/clovermark/,乾電池のイラスト（単四）（2カット）,images\四-3.png,https://illustkun.com/battery-4/
糸,1,手縫い糸のイラスト（4カラー）,images\糸-1.png,https://illustkun.com/06977-20221025-a/,糸切りばさみのイラスト（2カット）,images\糸-2.png,https://illustkun.com/06973-20221023-a/,工具のイラスト（糸鋸・ノコギリ）（2カット）,images\糸-3.png,https://illustkun.com/fret-saw/
字,1,文字のイラスト2（2026）（3カラー）,images\字-1.png,https://illustkun.com/08803-20250601-c/,文字のイラスト（2026）（3カラー）,images\字-2.png,https://illustkun.com/08800-20250531-c/,文字のイラスト2（Thank you）（3カラー）,images\字-3.png,https://illustkun.com/08710-20250321-c-thumb/
耳,1,耳かきのイラスト,images\耳-1.png,https://illustkun.com/earpick/,N/A,N/A,N/A,N/A,N/A,N/A
七,1,七芒星のイラスト（ヘプタグラム）（2カット×2カラー）,images\七-1.png,https://illustkun.com/06912-20220922-b/,七草粥のイラスト（いろり鍋）,images\七-2.png,https://illustkun.com/06359-20211217-a/,七草粥のイラスト（茶碗）,images\七-3.png,https://illustkun.com/06358-20211216-a/
車,1,電車のイラスト（京阪電車8000系）,images\車-1.png,https://illustkun.com/08619-20250113-a/,香水の匂いが強い女性のイラスト（電車）,images\車-2.png,https://illustkun.com/08178-20240425-a/,新幹線のイラスト（N700系電車）,images\車-3.png,https://illustkun.com/08103-20240321-a/
手,1,手で丸のイラスト（女の子）（2キャラ）,images\手-1.png,https://illustkun.com/08280-20240622-a/,手で丸のイラスト（男の子）（2キャラ）,images\手-2.png,https://illustkun.com/08278-20240620-a/,クリスマスのイラスト（サンタ手袋）（4カラー）,images\手-3.png,https://illustkun.com/07955-20231218-d/
十,1,十芒星のイラスト（デカグラム）（2カット×2カラー）,images\十-1.png,https://illustkun.com/06930-20220926-d/,十二星座のイラスト特集！,images\十-2.png,https://illustkun.com/zodiac-signs/,星座のイラスト（はくちょう座）（2カット）,images\十-3.png,https://illustkun.com/06264-20211101-b/
出,1,破裂型の吹き出しのイラスト（2カット）,images\出-1.png,https://illustkun.com/fukidashi-11/,雲型の吹き出しのイラスト2（2カット）,images\出-2.png,https://illustkun.com/fukidashi-10/,多角形の吹き出しのイラスト（2カット）,images\出-3.png,https://illustkun.com/fukidashi-9/
女,1,カラードレスを着た女性のイラスト（4カラー）,images\女-1.png,https://illustkun.com/08901-20250831-a/,タキシードを着た女の子のイラスト（2キャラ）,images\女-2.png,https://illustkun.com/08889-20250820-a/,シュノーケルのイラスト（女の子）（2キャラ）,images\女-3.png,https://illustkun.com/08881-20250808-b/
小,1,電車のイラスト（小田急線5000形）,images\小-1.png,https://illustkun.com/07795-20231006-a/,集合写真のイラスト（小学生）（2カット）,images\小-2.png,https://illustkun.com/07628-20230723-a/,小松菜のイラスト,images\小-3.png,https://illustkun.com/07377-20230502-a/
上,1,卓上カレンダーのイラスト（2パターン）,images\上-1.png,https://illustkun.com/08450-20240918-a/,シューズ入れのイラスト（上履き・上靴）（2カラー）,images\上-2.png,https://illustkun.com/07225-20230206-b/,文字のイラスト（本年もよろしくお願い申し上げます2）（2カット×3カラー）,images\上-3.png,https://illustkun.com/07086-20221214-f/
森,1,青森県の地図のイラスト（3パターン）,images\森-1.png,https://illustkun.com/07051-20221203-a/,せんべい汁のイラスト,images\森-2.png,https://illustkun.com/06283-20211116-a/,N/A,N/A,N/A
人,1,暑いイラスト（老人・おばあさん）（2キャラ）,images\人-1.png,https://illustkun.com/08357-20240802-b/,暑いイラスト（老人・おじいさん）（2キャラ）,images\人-2.png,https://illustkun.com/08354-20240801-a/,温泉のイラスト（老人・女性）（2カット）,images\人-3.png,https://illustkun.com/07838-20231025-a/
水,1,洪水のイラスト（住宅）（2カット）,images\水-1.png,https://illustkun.com/08570-20241204-a/,元素記号のイラスト（水銀）（3パターン）,images\水-2.png,https://illustkun.com/08017-20240130-b/,元素記号のイラスト（水素）（3パターン）,images\水-3.png,https://illustkun.com/075012-20230628-b/
正,1,文字のイラスト（賀正）（4カラー）,images\正-1.png,https://illustkun.com/gashyo/,しめ飾りのイラスト（2カット）,images\正-2.png,https://illustkun.com/shimekazari/,子供のイラスト2（女の子）（4カット）,images\正-3.png,https://illustkun.com/girl-2/
生,1,生徒会長のイラスト（女子）（2キャラ）,images\生-1.png,https://illustkun.com/08562-20241128-a/,生徒会長のイラスト（男子）（2キャラ）,images\生-2.png,https://illustkun.com/08560-20241127-a/,腹痛・生理痛のイラスト（女性）（2カット）,images\生-3.png,https://illustkun.com/08082-20240306-a/
青,1,青い花火のイラスト（4カット）,images\青-1.png,https://illustkun.com/fireworks-6/,青唐辛子のイラスト（2カット）,images\青-2.png,https://illustkun.com/green-chili/,青い鳥のイラスト（3カット）,images\青-3.png,https://illustkun.com/bird-2/
夕,1,七夕のイラスト（織姫彦星）（3カット）,images\夕-1.png,https://illustkun.com/tanabata-3/,織姫と彦星のイラスト（七夕）（3カット）,images\夕-2.png,https://illustkun.com/tanabata-2/,七夕のイラスト（短冊）,images\夕-3.png,https://illustkun.com/tanabata/
石,1,杵と石臼のイラスト（餅つき）,images\石-1.png,https://illustkun.com/07217-20230201-a/,石川県の地図のイラスト（3パターン）,images\石-2.png,https://illustkun.com/07195-20230124-a/,碁石のイラスト（黒石）（2カット）,images\石-3.png,https://illustkun.com/06759-20220702-a/
赤,1,国旗ポールのイラスト（赤道ギニア）（2パターン）,images\赤-1.png,https://illustkun.com/08971-20251230-b/,サンタのイラスト（女の子赤ちゃん）,images\赤-2.png,https://illustkun.com/08541-20241116-a/,サンタのイラスト（男の子赤ちゃん）,images\赤-3.png,https://illustkun.com/08540-20241115-a/
千,1,電車のイラスト（千代田線16000系）,images\千-1.png,https://illustkun.com/07794-20231005-a/,千葉県の地図のイラスト（3パターン）,images\千-2.png,https://illustkun.com/07108-20221221-a/,和柄のイラスト（千鳥格子・ちどりごうし）（3カラー）,images\千-3.png,https://illustkun.com/06312-20211125-c/
川,1,徳川家光の似顔絵イラスト（2カラー）,images\川-1.png,https://illustkun.com/09020-20260502-a/,香川県の地図のイラスト（3パターン）,images\川-2.png,https://illustkun.com/07113-20221224-a/,神奈川県の地図のイラスト（3パターン）,images\川-3.png,https://illustkun.com/07105-20221220-a/
先,1,会話のイラスト（黒人女性の先生と生徒）,images\先-1.png,https://illustkun.com/06239-20211018-a/,会話のイラスト（白人女性の先生と生徒）,images\先-2.png,https://illustkun.com/06238-20211017-a/,会話のイラスト（黒人男性の先生と生徒）,images\先-3.png,https://illustkun.com/06237-20211016-a/
早,1,虫取りのイラスト（セミ）,images\早-1.png,https://illustkun.com/insect-collecting/,虫取りあみのイラスト,images\早-2.png,https://illustkun.com/butterfly-net/,紙花のイラスト（6カット）,images\早-3.png,https://illustkun.com/paper-flower-2/
草,1,草刈りのイラスト（女性）（2カット）,images\草-1.png,https://illustkun.com/06966-20221019-b/,草刈りのイラスト（男性）（2カット）,images\草-2.png,https://illustkun.com/06963-20221018-a/,草刈り機のイラスト（2カラー）,images\草-3.png,https://illustkun.com/06959-20221015-a/
足,1,カニ足のイラスト,images\足-1.png,https://illustkun.com/08586-20241216-a/,足にギプスをした女性のイラスト（2カット）,images\足-2.png,https://illustkun.com/06877-20220906-b/,足にギプスをした男性のイラスト（2カット）,images\足-3.png,https://illustkun.com/06874-20220905-a/
村,1,家具と家電 アーカイブ,images\村-1.png,https://illustkun.com/category/lifestyle/furniture-appliances/,その他の生活関連 アーカイブ,images\村-2.png,https://illustkun.com/category/lifestyle/other-lifestyle/,医療とヘルスケア アーカイブ,images\村-3.png,https://illustkun.com/category/medical-healthcare/
大,1,文字の大きな通信アプリ画面のイラスト（2カラー）,images\大-1.png,https://illustkun.com/07450-20230605-b/,大分県の地図のイラスト（3パターン）,images\大-2.png,https://illustkun.com/07304-20230324-a/,大阪府の地図のイラスト（3パターン）,images\大-3.png,https://illustkun.com/07234-20230213-a/
男,1,タキシードを着た男の子のイラスト（2キャラ）,images\男-1.png,https://illustkun.com/08887-20250819-a/,シュノーケルのイラスト（男の子）（2キャラ）,images\男-2.png,https://illustkun.com/08879-20250807-b/,浮き輪のイラスト（男の子）（2キャラ）,images\男-3.png,https://illustkun.com/08872-20250730-b/
竹,1,剣道のイラスト（竹刀）,images\竹-1.png,https://illustkun.com/06480-20220209-a/,梅の花のイラスト（松竹梅）（8カット）,images\竹-2.png,https://illustkun.com/ume/,笹のイラスト（松竹梅）（4カット）,images\竹-3.png,https://illustkun.com/take/
中,1,国旗ポールのイラスト（中央アフリカ）（2パターン）,images\中-1.png,https://illustkun.com/08982-20260202-a/,冷やし中華のイラスト,images\中-2.png,https://illustkun.com/08382-20240818-a/,国旗ポールのイラスト（中国）（2パターン）,images\中-3.png,https://illustkun.com/08141-20240406-b/
虫,1,昆虫のイラスト（カメムシ）（2カラー）,images\虫-1.png,https://illustkun.com/08067-20240225-b/,昆虫のイラスト（ロクロクビオトシブミ）,images\虫-2.png,https://illustkun.com/08065-20240224-a/,虫眼鏡のイラスト,images\虫-3.png,https://illustkun.com/magnifying-glass/
町,1,文字のイラスト（町内会）,images\町-1.png,https://illustkun.com/moji-chonaikai/,簡単にチラシを作ろう！,images\町-2.png,https://illustkun.com/description/,N/A,N/A,N/A
天,1,通天閣のイラスト（2カット）,images\天-1.png,https://illustkun.com/06425-20220116-b/,天秤のイラスト,images\天-2.png,https://illustkun.com/balance/,かわいい七福神のイラスト（毘沙門天）（2カット）,images\天-3.png,https://illustkun.com/bisyamon-2/
田,1,秋田県の地図のイラスト（3パターン）,images\田-1.png,https://illustkun.com/07054-20221204-a/,前田利家の似顔絵イラスト,images\田-2.png,https://illustkun.com/toshiie-maeda/,柴田勝家の似顔絵イラスト,images\田-3.png,https://illustkun.com/katsuie-shibata/
土,1,もみじ饅頭のイラスト（6カット）,images\土-1.png,https://illustkun.com/momijimanjyu/,つくしのイラスト（4カット）,images\土-2.png,https://illustkun.com/horsetail/,N/A,N/A,N/A
二,1,二段ベッドで寝る女の子のイラスト,images\二-1.png,https://illustkun.com/08139-20240405-a/,二段ベッドで寝る男の子のイラスト,images\二-2.png,https://illustkun.com/08138-20240404-a/,二段ベッドのイラスト（2カラー）,images\二-3.png,https://illustkun.com/08137-20240403-b/
日,1,日焼けのイラスト（女の子）（2キャラ）,images\日-1.png,https://illustkun.com/08380-20240817-a/,日焼けのイラスト（男の子）（2キャラ）,images\日-2.png,https://illustkun.com/08378-20240816-a/,国旗ポールのイラスト（日本）（2パターン）,images\日-3.png,https://illustkun.com/08105-20240322-b/
入,1,袋に入ったお米のイラスト,images\入-1.png,https://illustkun.com/08409-20240907-a/,スマホ操作のイラスト（フリック入力）（2パターン）,images\入-2.png,https://illustkun.com/07968-20231226-a/,名刺入れのイラスト（2カット）,images\入-3.png,https://illustkun.com/07352-20230414-a/
年,1,うま年の年賀状用イラスト特集,images\年-1.png,https://illustkun.com/nenga-uma/,馬のダルマのイラスト（午年・干支）（2カット）,images\年-2.png,https://illustkun.com/08817-20250610-b/,かわいい馬のイラスト（午年・着物・干支）（2キャラ）,images\年-3.png,https://illustkun.com/08815-20250609-b/
白,1,元素記号のイラスト（白金・プラチナ）（3パターン）,images\白-1.png,https://illustkun.com/07899-20231127-b/,白い鳩のイラスト（鳥）,images\白-2.png,https://illustkun.com/06794-20220724-a/,白ごまのイラスト,images\白-3.png,https://illustkun.com/06788-20220718-a/
八,1,八芒星のイラスト2（オクタグラム）（2カット×2カラー）,images\八-1.png,https://illustkun.com/06920-20220924-b/,八芒星のイラスト（オクタグラム）（2カット×2カラー）,images\八-2.png,https://illustkun.com/06917-20220923-c/,八方美人のイメージイラスト（女性会社員）,images\八-3.png,https://illustkun.com/06586-20220410-a/
百,1,新500円玉のイラスト（硬貨・お金）（4カット）,images\百-1.png,https://illustkun.com/coin-7/,500円玉のイラスト（硬貨・お金）（4カット）,images\百-2.png,https://illustkun.com/coin-6/,100円玉のイラスト（硬貨・お金）（4カット）,images\百-3.png,https://illustkun.com/coin-5/
文,1,文字のイラスト（Thank you）（3カラー）,images\文-1.png,https://illustkun.com/08705-20250320-a-thumb/,文字のイラスト（Free）（3カラー）,images\文-2.png,https://illustkun.com/08524-20241105-b/,文字のイラスト（無料）（3カラー）,images\文-3.png,https://illustkun.com/08520-20241104-a/
木,1,木のイラスト（広葉樹）（2カラー）,images\木-1.png,https://illustkun.com/08407-20240905-a/,木のイラスト（針葉樹）（2カラー）,images\木-2.png,https://illustkun.com/08405-20240904-a/,ヤシの木のイラスト（ヤシの実）（2カラー）,images\木-3.png,https://illustkun.com/08052-20240216-a/
本,1,法律の本のイメージイラスト（六法全書）（2カット）,images\本-1.png,https://illustkun.com/07882-20231120-b/,法律の本のイメージイラスト（2カット）,images\本-2.png,https://illustkun.com/07879-20231119-a/,熊本県の地図のイラスト（3パターン）,images\本-3.png,https://illustkun.com/07301-20230323-a/
名,1,名刺（写真入り）のイラスト（2カット）,images\名-1.png,https://illustkun.com/07350-20230413-a/,名刺のイラスト（2カット）,images\名-2.png,https://illustkun.com/07349-20230412-b/,なまえペンのイラスト（2カット×2カラー）,images\名-3.png,https://illustkun.com/08429-20240914-b/
目,1,目が回るイラスト（女の子）（2キャラ）,images\目-1.png,https://illustkun.com/08781-20250516-b/,目が回るイラスト（男の子）（2キャラ）,images\目-2.png,https://illustkun.com/08779-20250515-b/,目が点のイラスト（女の子）（2キャラ）,images\目-3.png,https://illustkun.com/08773-20250510-b/
立,1,逆立ちのイラスト（女子）（2キャラ）,images\立-1.png,https://illustkun.com/08276-20240619-a/,逆立ちのイラスト（男子）（2キャラ）,images\立-2.png,https://illustkun.com/08274-20240618-a/,泡立て器のイラスト（2カット）,images\立-3.png,https://illustkun.com/whisk/
力,1,視力検査表のイラスト,images\力-1.png,https://illustkun.com/eye-chart/,パソコンをするイラスト（キーボード入力）,images\力-2.png,https://illustkun.com/computer-2/,パソコンをするイラスト（マウス入力）,images\力-3.png,https://illustkun.com/computer/
林,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
六,1,六芒星のイラスト（ヘキサグラム）（2カット×2カラー）,images\六-1.png,https://illustkun.com/06909-20220921-c/,家紋のイラスト（銭紋・真田銭・六文銭）,images\六-2.png,https://illustkun.com/kamon-6/,N/A,N/A,N/A
